Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"applicantFieldData = ""Data Files/applicants/defaultDataCreateApplicant""",Chrome 126.0.0.0,,,2024-08-16 02:28:56,2024-08-16 02:28:56,0.001s,PASSED
tc.run(),Chrome 126.0.0.0,,,2024-08-16 02:28:56,2024-08-16 02:28:56,0.002s,PASSED
"navBar.hoverElement(""applicantsIcon"")",Chrome 126.0.0.0,,,2024-08-16 02:28:56,2024-08-16 02:28:56,0.206s,PASSED
"navBar.clickElement(""createApplicantLink"")",Chrome 126.0.0.0,,,2024-08-16 02:28:56,2024-08-16 02:28:57,1.571s,PASSED
applicantFields = findTestData(applicantFieldData),Chrome 126.0.0.0,,,2024-08-16 02:28:57,2024-08-16 02:28:57,0.004s,PASSED
"createNewApp.setApplicantFieldsWithDefaultValues(applicantFields, ""applicantFieldValue"")",Chrome 126.0.0.0,,,2024-08-16 02:28:57,2024-08-16 02:29:05,7.134s,PASSED
"createNewApp.clickElement(""applicantSaveButton"")",Chrome 126.0.0.0,,,2024-08-16 02:29:05,2024-08-16 02:29:05,0.241s,PASSED
applicantPolicyPage.goToAddPolicyPage(),Chrome 126.0.0.0,,,2024-08-16 02:29:05,2024-08-16 02:29:10,5.229s,PASSED
"addPolicyPage.setPolicyFieldsWithDefaultValues(data, ""policyCreateValue"")",Chrome 126.0.0.0,,,2024-08-16 02:29:10,2024-08-16 02:29:14,3.947s,PASSED
"addPolicyPage.clickElement(""addAndEditPolicySubmitButton"")",Chrome 126.0.0.0,,,2024-08-16 02:29:14,2024-08-16 02:29:14,0.160s,PASSED
apeTabs.goToVehiclesPage(),Chrome 126.0.0.0,,,2024-08-16 02:29:14,2024-08-16 02:29:18,3.649s,PASSED
"addEditVehicle.addVehicleNew(data, ""vinFieldValue"")",Chrome 126.0.0.0,,,2024-08-16 02:29:18,2024-08-16 02:29:19,1.121s,PASSED
"apeTabs.clickElement(""saveAndCloseBtn"")",Chrome 126.0.0.0,,,2024-08-16 02:29:19,2024-08-16 02:29:19,0.160s,PASSED
delay(smallTimeOut),Chrome 126.0.0.0,,,2024-08-16 02:29:19,2024-08-16 02:29:21,2.003s,PASSED
"applicantPolicyPage.clickElement(""policyTab"")",Chrome 126.0.0.0,,,2024-08-16 02:29:21,2024-08-16 02:29:22,0.446s,PASSED
applicantPolicyPage.navigateToRequestChangePolicy(),Chrome 126.0.0.0,,,2024-08-16 02:29:22,2024-08-16 02:29:23,1.708s,PASSED
"addPolicyPage.requestChangePolicy(data, ""changeRequestValue"")",Chrome 126.0.0.0,,,2024-08-16 02:29:23,2024-08-16 02:29:26,2.315s,PASSED
"addPolicyPage.clickElement(""editChangeRequestPolicy"")",Chrome 126.0.0.0,,,2024-08-16 02:29:26,2024-08-16 02:29:26,0.152s,PASSED
delay(medTimeOut),Chrome 126.0.0.0,,,2024-08-16 02:29:26,2024-08-16 02:29:31,5.001s,PASSED
apeTabs.clickSaveAndClose(),Chrome 126.0.0.0,,,2024-08-16 02:29:31,2024-08-16 02:29:32,1.355s,PASSED
delay(smallTimeOut),Chrome 126.0.0.0,,,2024-08-16 02:29:32,2024-08-16 02:29:34,2.002s,PASSED
switchToWindowIndex(1),Chrome 126.0.0.0,,,2024-08-16 02:29:34,2024-08-16 02:29:34,0.023s,PASSED
switchToDefaultContent(),Chrome 126.0.0.0,,,2024-08-16 02:29:34,2024-08-16 02:29:34,0.019s,PASSED
policyColumn = findTestData(policyColumnData),Chrome 126.0.0.0,,,2024-08-16 02:29:34,2024-08-16 02:29:34,0.005s,PASSED
"result = verifyTextPresent(policyColumn.getValue(""changeRequestVerify"", 1), false)",Chrome 126.0.0.0,,,2024-08-16 02:29:34,2024-08-16 02:29:34,0.110s,PASSED
finalResult.add(String.valueOf(result)),Chrome 126.0.0.0,,,2024-08-16 02:29:34,2024-08-16 02:29:34,0.000s,PASSED
"!(finalResult.contains(""false""))",Chrome 126.0.0.0,,,2024-08-16 02:29:34,2024-08-16 02:29:34,0.001s,PASSED
Start listener action : AfterTestCase,Chrome 126.0.0.0,,,2024-08-16 02:29:34,2024-08-16 02:29:34,0.035s,PASSED
,,,,,,,
Test Cases/policyManagement/VerifyPolicyDownloadMatching,Chrome 126.0.0.0,,,2024-08-16 02:29:34,2024-08-16 02:29:59,24.526s,PASSED
Start listener action : BeforeTestCase,Chrome 126.0.0.0,,,2024-08-16 02:29:34,2024-08-16 02:29:34,0.095s,PASSED
"dataFilePath = ""Data Files/policyManagement/policyDownloadMatching""",Chrome 126.0.0.0,,,2024-08-16 02:29:35,2024-08-16 02:29:35,0.000s,PASSED
tc = new VerifyPolicyDownloadMatching(dataFilePath),Chrome 126.0.0.0,,,2024-08-16 02:29:35,2024-08-16 02:29:35,0.061s,PASSED
"policyColumnData = ""Data Files/policyManagement/policyManagementColumn""",Chrome 126.0.0.0,,,2024-08-16 02:29:35,2024-08-16 02:29:35,0.001s,PASSED
"applicantFieldData = ""Data Files/applicants/defaultDataCreateApplicant""",Chrome 126.0.0.0,,,2024-08-16 02:29:35,2024-08-16 02:29:35,0.000s,PASSED
tc.run(),Chrome 126.0.0.0,,,2024-08-16 02:29:35,2024-08-16 02:29:35,0.002s,PASSED
"navBar.hoverElement(""applicantsIcon"")",Chrome 126.0.0.0,,,2024-08-16 02:29:35,2024-08-16 02:29:35,0.259s,PASSED
"navBar.clickElement(""createApplicantLink"")",Chrome 126.0.0.0,,,2024-08-16 02:29:35,2024-08-16 02:29:37,1.599s,PASSED
applicantFields = findTestData(applicantFieldData),Chrome 126.0.0.0,,,2024-08-16 02:29:37,2024-08-16 02:29:37,0.004s,PASSED
"lobVerifyIndex = applicantOverviewPage.getRowIndexOfScenarioName(data, ""lobVerify"")",Chrome 126.0.0.0,,,2024-08-16 02:29:37,2024-08-16 02:29:37,0.001s,PASSED
"lob = data.getValue(""lob"", lobVerifyIndex)",Chrome 126.0.0.0,,,2024-08-16 02:29:37,2024-08-16 02:29:37,0.001s,PASSED
"createNewApp.setApplicantFieldsWithDefaultValues(applicantFields, ""applicantFieldValue"")",Chrome 126.0.0.0,,,2024-08-16 02:29:37,2024-08-16 02:29:44,7.190s,PASSED
"createNewApp.clickElement(""applicantSaveButton"")",Chrome 126.0.0.0,,,2024-08-16 02:29:44,2024-08-16 02:29:44,0.256s,PASSED
applicantPolicyPage.goToAddPolicyPage(),Chrome 126.0.0.0,,,2024-08-16 02:29:44,2024-08-16 02:29:49,5.170s,PASSED
